metric,n,mean_colbert,mean_bm25,mean_diff,std_diff,dz,ci_low,ci_high,t_stat,p_ttest,p_ttest_holm,w_stat,p_wilcoxon,p_wilcoxon_holm
bertscore,7456,0.8584807805793992,0.8568568535407725,0.0016239270386266096,0.030866276196298743,0.052611692719231835,0.0009231983550481359,0.002324655722205083,4.542921418162226,5.635307845651361e-06,8.702450695850446e-06,13081380.0,2.13888426593356e-05,9.589815316588894e-05
bleu,7456,0.11502860783261804,0.10819077253218884,0.006837835300429184,0.1145285615908772,0.059704192608788106,0.00423779868813013,0.009437871912728237,5.1553455389470795,2.596725431863749e-07,1.0386901727454996e-06,10226843.5,1.917963063317779e-05,9.589815316588894e-05
rouge1,7456,0.41065488197424893,0.40479247585836914,0.005862406115879829,0.0962036285448514,0.060937474028297155,0.0036783836067509233,0.008046428625008734,5.261837086466918,1.4659535828389273e-07,7.329767914194636e-07,13098016.5,2.4659299484347155e-05,9.589815316588894e-05
rouge2,7456,0.1933493428111588,0.18548849248927038,0.007860850321888413,0.13497800886151234,0.05823800771838069,0.004796568713700354,0.010925131930076472,5.028743211643839,5.052244902024169e-07,1.5156734706072507e-06,13111909.0,0.00010735278118622786,0.00021470556237245572
rougeL,7456,0.2477859844420601,0.24191567864806865,0.005870305793991417,0.11025897976646569,0.053241067588554084,0.0033671975715060076,0.008373414016476826,4.59726676282079,4.351225347925223e-06,8.702450695850446e-06,13201084.5,0.00038999136886433997,0.00038999136886433997
