strategy,rouge1,rouge2,rougeL,bleu,bertscore
reversed_top2,0.4012851851851852,0.18098055555555556,0.23757592592592594,0.10759722222222222,0.8506972222222222
reversed_top3,0.4215537037037037,0.19410462962962963,0.24727962962962963,0.11495740740740741,0.8594314814814815
reversed_top4,0.41693703703703705,0.18076203703703705,0.24036203703703704,0.10556944444444445,0.8545324074074074
reversed_top5,0.4280101851851852,0.20372962962962962,0.25899814814814814,0.12600185185185186,0.858636111111111
sequential_top1,0.3814962962962963,0.15187037037037038,0.2242361111111111,0.08142777777777778,0.8358027777777778
sequential_top2,0.39691203703703704,0.17378703703703702,0.23682592592592594,0.102225,0.8493685185185186
sequential_top3,0.40987037037037033,0.1949,0.25475925925925924,0.1214361111111111,0.8605583333333333
sequential_top4,0.41074074074074074,0.18292685185185184,0.24533055555555555,0.11227592592592593,0.8551935185185185
sequential_top5,0.4033527777777778,0.176825,0.23860462962962964,0.10454444444444445,0.855962962962963
shuffled_top3,0.4137398148148148,0.19103148148148147,0.24854444444444446,0.11906018518518519,0.8609916666666666
shuffled_top4,0.41928796296296295,0.19141574074074072,0.24780740740740742,0.1156888888888889,0.8572657407407407
shuffled_top5,0.4038861111111111,0.17075925925925925,0.2330851851851852,0.09961111111111112,0.8524972222222222
