strategy,rouge1,rouge2,rougeL,bleu,bertscore
reversed_top2,0.37001111111111107,0.14966296296296294,0.21343703703703706,0.0806074074074074,0.8401814814814814
reversed_top3,0.42710740740740744,0.21852592592592593,0.25564444444444445,0.13324814814814814,0.8647185185185186
reversed_top4,0.4313592592592593,0.22907407407407407,0.27760370370370374,0.14041851851851853,0.8678666666666667
reversed_top5,0.4136925925925926,0.17689259259259257,0.23183703703703704,0.0969074074074074,0.8540518518518518
sequential_top1,0.3553407407407408,0.1264074074074074,0.20034814814814814,0.06034074074074074,0.8297148148148148
sequential_top2,0.36727777777777776,0.14357407407407408,0.21078148148148146,0.07706666666666667,0.8471222222222222
sequential_top3,0.4039148148148148,0.1738888888888889,0.22446296296296298,0.10087037037037037,0.8594296296296297
sequential_top4,0.43607037037037033,0.2252333333333333,0.26057777777777774,0.1344962962962963,0.863625925925926
sequential_top5,0.41264814814814815,0.19322222222222224,0.2408962962962963,0.11132962962962963,0.8617370370370371
shuffled_top3,0.4278148148148148,0.2131037037037037,0.2566222222222222,0.13606666666666667,0.8652
shuffled_top4,0.4427370370370371,0.23502592592592592,0.2686962962962963,0.1308703703703704,0.8646296296296296
shuffled_top5,0.42529629629629634,0.208637037037037,0.2654666666666667,0.12168518518518517,0.8596185185185186
