retrieval,tag,topk,compare,metric,N_pairs,p_raw,p_adj,significant@0.05
BM25only,RQ1_context_length,1 vs 2,top1 - top2,rouge1,233,0.02167510970268544,0.02167510970268544,True
BM25only,RQ1_context_length,1 vs 2,top1 - top2,rouge2,233,0.012610851763073874,0.012610851763073874,True
BM25only,RQ1_context_length,1 vs 2,top1 - top2,rougeL,233,0.09265443911651924,0.09265443911651924,False
BM25only,RQ1_context_length,1 vs 2,top1 - top2,bleu,233,0.01855815270488086,0.01855815270488086,True
BM25only,RQ1_context_length,1 vs 2,top1 - top2,bertscore,233,7.514097051779904e-07,7.514097051779904e-07,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,rouge1,233,2.3487398370765303e-06,2.3487398370765303e-06,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,rouge2,233,1.7302503296266405e-07,1.7302503296266405e-07,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,rougeL,233,2.5172279371410566e-05,2.5172279371410566e-05,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,bleu,233,1.8807983358662307e-07,1.8807983358662307e-07,True
BM25only,RQ1_context_length,1 vs 3,top1 - top3,bertscore,233,1.1344028001320658e-18,1.1344028001320658e-18,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,rouge1,233,4.4188030036360966e-07,4.4188030036360966e-07,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,rouge2,233,7.648095237209609e-07,7.648095237209609e-07,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,rougeL,233,0.0001152131855612749,0.0001152131855612749,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,bleu,233,1.2351188962904508e-06,1.2351188962904508e-06,True
BM25only,RQ1_context_length,1 vs 4,top1 - top4,bertscore,233,4.010889039244531e-16,4.010889039244531e-16,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,rouge1,233,0.00015565083271298086,0.00015565083271298086,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,rouge2,233,0.0004318206739828712,0.0004318206739828712,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,rougeL,233,0.007348281441449263,0.007348281441449263,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,bleu,233,0.00069829017277384,0.00069829017277384,True
BM25only,RQ1_context_length,1 vs 5,top1 - top5,bertscore,233,4.562369636928136e-15,4.562369636928136e-15,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,rouge1,233,0.00034721625063145945,0.00034721625063145945,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,rouge2,233,0.000159050692489949,0.000159050692489949,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,rougeL,233,0.0016770104695813725,0.0016770104695813725,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,bleu,233,9.021802646375746e-05,9.021802646375746e-05,True
BM25only,RQ1_context_length,2 vs 3,top2 - top3,bertscore,233,2.09701023876624e-09,2.09701023876624e-09,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,rouge1,233,3.516534110047076e-05,3.516534110047076e-05,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,rouge2,233,0.00021959302776424996,0.00021959302776424996,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,rougeL,233,0.0032283277636782647,0.0032283277636782647,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,bleu,233,0.00023824459077764103,0.00023824459077764103,True
BM25only,RQ1_context_length,2 vs 4,top2 - top4,bertscore,233,5.788887254912335e-07,5.788887254912335e-07,True
BM25only,RQ1_context_length,2 vs 5,top2 - top5,rouge1,233,0.029488938741255338,0.029488938741255338,True
BM25only,RQ1_context_length,2 vs 5,top2 - top5,rouge2,233,0.14704320175595645,0.14704320175595645,False
BM25only,RQ1_context_length,2 vs 5,top2 - top5,rougeL,233,0.2746634353230193,0.2746634353230193,False
BM25only,RQ1_context_length,2 vs 5,top2 - top5,bleu,233,0.16318516374265446,0.16318516374265446,False
BM25only,RQ1_context_length,2 vs 5,top2 - top5,bertscore,233,2.1746699955115836e-05,2.1746699955115836e-05,True
BM25only,RQ1_context_length,3 vs 4,top3 - top4,rouge1,233,0.4294825286681655,0.4294825286681655,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,rouge2,233,0.96844876156063,0.96844876156063,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,rougeL,233,0.8101103935527032,0.8101103935527032,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,bleu,233,0.885523686657806,0.885523686657806,False
BM25only,RQ1_context_length,3 vs 4,top3 - top4,bertscore,233,0.3420062238293371,0.3420062238293371,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,rouge1,233,0.24353747598123435,0.24353747598123435,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,rouge2,233,0.05600220260053106,0.05600220260053106,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,rougeL,233,0.08127364958423064,0.08127364958423064,False
BM25only,RQ1_context_length,3 vs 5,top3 - top5,bleu,233,0.03343514224000458,0.03343514224000458,True
BM25only,RQ1_context_length,3 vs 5,top3 - top5,bertscore,233,0.14472254503122498,0.14472254503122498,False
BM25only,RQ1_context_length,4 vs 5,top4 - top5,rouge1,233,0.040214437478067945,0.040214437478067945,True
BM25only,RQ1_context_length,4 vs 5,top4 - top5,rouge2,233,0.03374040366077619,0.03374040366077619,True
BM25only,RQ1_context_length,4 vs 5,top4 - top5,rougeL,233,0.09264488929485397,0.09264488929485397,False
BM25only,RQ1_context_length,4 vs 5,top4 - top5,bleu,233,0.03048047024192096,0.03048047024192096,True
BM25only,RQ1_context_length,4 vs 5,top4 - top5,bertscore,233,0.5113904060130416,0.5113904060130416,False
