strategy,rouge1,rouge2,rougeL,bleu,bertscore
reversed_top2,0.4112909871244635,0.19960128755364806,0.25254291845493565,0.12106051502145923,0.8560630901287554
reversed_top3,0.417555364806867,0.20137725321888414,0.25291630901287554,0.12079356223175966,0.8600244635193134
reversed_top4,0.4291472103004292,0.21583519313304722,0.2641609442060086,0.1321137339055794,0.8659618025751074
reversed_top5,0.4152429184549356,0.1948793991416309,0.2488871244635193,0.11397939914163091,0.8586875536480686
sequential_top1,0.38281244635193135,0.16140042918454933,0.22593862660944208,0.08852832618025751,0.8389133047210301
sequential_top2,0.395381974248927,0.17981845493562232,0.23724678111587982,0.10387081545064376,0.8530175965665235
sequential_top3,0.40906437768240345,0.18963690987124465,0.24800214592274678,0.11245450643776823,0.8587510729613734
sequential_top4,0.41166394849785404,0.19885150214592276,0.2535849785407725,0.12260643776824035,0.8594935622317597
sequential_top5,0.39989356223175965,0.17992017167381974,0.23740515021459227,0.10487424892703863,0.8570974248927039
shuffled_top3,0.41245150214592274,0.1993167381974249,0.2508068669527897,0.1204068669527897,0.8603935622317597
shuffled_top4,0.4176832618025751,0.19969914163090127,0.250724034334764,0.11834806866952789,0.8626051502145923
shuffled_top5,0.40223047210300433,0.17613004291845494,0.23472360515021456,0.10193133047210301,0.8550888412017168
